decorated,owner_unit,n_emitters,method
??0?$Delegate1@VAnimKey@@AAVAgeServer@@@@QAE@PAVAnimKey@@P81@AEXAAVAgeServer@@@Z@Z,cinePlayer,2,ilk-range
??0?$Parm@H@@QAE@PAVParameters@@HHHVayuID@@PAD@Z,gameflow,18,ilk-range
??0?$Parm@M@@QAE@PAVParameters@@MMMVayuID@@PAD@Z,gameflow,24,ilk-range
??0?$SmartPtr@VCreature@@@@QAE@XZ,tekibteki,20,ilk-range
??0AndAction@@QAE@PAVPiki@@@Z,aiPickCreature,5,ilk-range
??0AnimInfo@@QAE@XZ,animMgr,2,ilk-range
??0AnimKey@@QAE@HH@Z,TAIotama,11,ilk-range
??0AnimKey@@QAE@XZ,cinePlayer,3,ilk-range
??0Animator@@QAE@XZ,cinePlayer,3,ilk-range
??0BurnEffect@@QAE@PAVVector3f@@@Z,navi,2,link-order
??0CardQuickInfo@@QAE@XZ,newPikiGame,5,ilk-range
??0CollEvent@@QAE@PAVCreature@@PAVCollPart@@1@Z,navi,4,ilk-range
??0CollPartUpdater@@QAE@XZ,Slime,2,link-order
??0Collision@@QAE@XZ,mapMgr,2,ilk-range
??0Condition@@QAE@ABV0@@Z,taichappy,6,link-order
??0Condition@@QAE@XZ,tekibteki,20,ilk-range
??0CreatureNode@@QAE@XZ,itemMgr,2,ilk-range
??0CreatureNodeMgr@@QAE@XZ,itemMgr,2,ilk-range
??0CreaturePlatMgr@@QAE@XZ,tekibteki,4,ilk-range
??0CreatureProp@@QAE@XZ,tekibteki,8,ilk-range
??0Cylinder@@QAE@AAVVector3f@@0M@Z,collInfo,4,ilk-range
??0DynCollShape@@QAE@PAVShape@@@Z,mapMgr,3,ilk-range
??0DynObjBody@@QAE@XZ,mapMgr,2,ilk-range
??0EffectParm@@QAE@AAVVector3f@@0@Z,navi,5,ilk-range
??0EffectParm@@QAE@AAVVector3f@@@Z,navi,8,ilk-range
??0EffectParm@@QAE@PAVVector3f@@@Z,navi,5,ilk-range
??0FreeLightEffect@@QAE@XZ,piki,2,ilk-range
??0GaugeInfo@@QAE@XZ,newPikiGame,2,ilk-range
??0GenObject@@QAE@KPAD@Z,workObject,12,ilk-range
??0InteractAttack@@QAE@PAVCreature@@PAVCollPart@@M_N@Z,tekibteki,9,ilk-range
??0InteractBomb@@QAE@PAVCreature@@MPAVCollPart@@@Z,aiPerf,3,ilk-range
??0InteractBubble@@QAE@PAVCreature@@M@Z,Slime,2,ilk-range
??0InteractBuild@@QAE@PAVCreature@@HM@Z,aiBridge,2,ilk-range
??0InteractFire@@QAE@PAVCreature@@M@Z,TAIhibaA,2,ilk-range
??0InteractFlick@@QAE@ABV0@@Z,tekibteki,6,ilk-range
??0InteractFlick@@QAE@PAVCreature@@MMM@Z,tekibteki,13,ilk-range
??0InteractGrab@@QAE@PAVCreature@@@Z,aiMine,2,ilk-range
??0InteractKill@@QAE@PAVCreature@@H@Z,taicollec,5,ilk-range
??0InteractPress@@QAE@PAVCreature@@M@Z,taiotimoti,4,ilk-range
??0InteractPullout@@QAE@PAVCreature@@@Z,naviState,2,ilk-range
??0InteractRelease@@QAE@PAVCreature@@M@Z,navi,8,ilk-range
??0InteractSwallow@@QAE@PAVCreature@@PAVCollPart@@H@Z,taishell,9,ilk-range
??0InteractWind@@QAE@PAVCreature@@VVector3f@@MPAVparticleGenerator@zen@@@Z,TAIbeatle,2,link-order
??0Interaction@@QAE@ABV0@@Z,tekibteki,9,link-order
??0Interaction@@QAE@PAVCreature@@@Z,tekibteki,47,ilk-range
??0Iterator@@QAE@PAVTraversable@@PAVCondition@@@Z,tekimgr,66,ilk-range
??0KEffect@@QAE@XZ,navi,5,ilk-range
??0ModeState@@QAE@PAVBaseGameSection@@@Z,newPikiGame,2,ilk-range
??0MoveTrace@@QAE@AAVVector3f@@0M_N@Z,fishItem,6,ilk-range
??0Msg@@QAE@H@Z,itemMgr,14,ilk-range
??0MsgAnim@@QAE@PAVPaniAnimKeyEvent@@@Z,navi,3,ilk-range
??0MsgBounce@@QAE@AAVVector3f@@@Z,navi,4,ilk-range
??0MsgCollide@@QAE@AAVCollEvent@@@Z,navi,3,ilk-range
