rva,va,kind,size,name_mangled,name,source
0x00001005,0x10001005,thunk,5,??_U@YAPAXIH@Z,operatorNewBracket,ghidra+ilk
0x0000100a,0x1000100a,thunk,5,?speedy_sqrtf@@YAMM@Z,speedy_sqrtf,ghidra+ilk
0x0000100f,0x1000100f,thunk,5,_NewObject,NewObject,export+ghidra+ilk
0x00001014,0x10001014,thunk,0,?draw@PlugPikiApp@@UAEXAAVGraphics@@@Z,public: virtual void __thiscall PlugPikiApp::draw(class Graphics &),ilk
0x00001019,0x10001019,thunk,5,??_H@YGXPAXIHP6EX0@Z@Z,construct_new_array,ghidra+ilk
0x0000101e,0x1000101e,thunk,5,??2@YAPAXI@Z,System::alloc,ghidra+ilk
0x00001023,0x10001023,thunk,5,??0ObjectHandle@@QAE@PAD_NP6APAXXZ@Z,"public: __thiscall ObjectHandle::ObjectHandle(char *, bool, void * (__cdecl *)(void))",ghidra+ilk
0x00001028,0x10001028,thunk,5,??_V@YAXPAX@Z,void __cdecl operator delete[](void *),ghidra+ilk
0x0000102d,0x1000102d,thunk,5,??0PlugPikiApp@@QAE@XZ,public: __thiscall PlugPikiApp::PlugPikiApp(void),ghidra+ilk
0x00001032,0x10001032,thunk,5,_GetObjectList,GetObjectList,export+ghidra+ilk
0x00001037,0x10001037,thunk,5,??3@YAXPAX@Z,void __cdecl operator delete(void *),ghidra+ilk
0x0000103c,0x1000103c,thunk,0,??_GPlugPikiApp@@UAEPAXI@Z,public: virtual void * __thiscall PlugPikiApp::`scalar deleting dtor'(unsigned int),ilk
0x00001041,0x10001041,thunk,5,?hardReset@PlugPikiApp@@QAEXXZ,PlugPikiApp::hardReset@,ghidra+ilk
0x00001046,0x10001046,thunk,0,?softReset@PlugPikiApp@@UAEXXZ,public: virtual void __thiscall PlugPikiApp::softReset(void),ilk
0x0000104b,0x1000104b,thunk,0,?newPikiGame@@YAPAXXZ,void * __cdecl newPikiGame(void),ilk
0x00001050,0x10001050,thunk,5,_sqrtf,_sqrtf,ghidra+ilk
0x00001055,0x10001055,thunk,5,_DllMain@12,_DllMain@12,ghidra+ilk
0x0000105a,0x1000105a,thunk,0,?idle@PlugPikiApp@@UAEHXZ,public: virtual int __thiscall PlugPikiApp::idle(void),ilk
0x0000105f,0x1000105f,thunk,5,??_U@YAPAXI@Z,new_array,ghidra+ilk
0x00001064,0x10001064,thunk,0,?update@PlugPikiApp@@UAEXXZ,public: virtual void __thiscall PlugPikiApp::update(void),ilk
0x00001069,0x10001069,thunk,5,??1PlugPikiApp@@UAE@XZ,public: virtual __thiscall PlugPikiApp::~PlugPikiApp(void),ghidra+ilk
0x0000106e,0x1000106e,thunk,5,_AutoStart,AutoStart,export+ghidra+ilk
0x00001073,0x10001073,thunk,0,??2@YAPAXIH@Z,"void * __cdecl operator new(unsigned int, int)",ilk
0x00001078,0x10001078,thunk,0,??_EPlugPikiApp@@UAEPAXI@Z,public: virtual void * __thiscall PlugPikiApp::`vector deleting dtor'(unsigned int),ilk
0x00001100,0x10001100,function,61,_DllMain@12,_DllMain@12_0,ghidra+ilk
