stem,lo_rva,hi_rva
attachmodule,0x1100,0x1260
sysnew,0x1260,0x18c0
attachplugpiki,0x18c0,0x1ba0
plugpiki,0x1ba0,0x2f70
gameflow,0x30e0,0x6ea0
gui,0x6ea0,0x89e0
parameters,0x89e0,0x9500
movieplayer,0x9500,0xae50
memorycard,0xae50,0xba60
ninlogo,0xba60,0xc020
titles,0xc020,0xeb90
movsample,0xeb90,0xf0d0
game,0xf0d0,0x10410
gameprefs,0x10410,0x11590
cineplayer,0x11590,0x18800
daymgr,0x18800,0x1eb00
lightpool,0x1eb00,0x1f620
gameexit,0x1f620,0x1f860
newpikigame,0x1f860,0x26b50
introgame,0x26b50,0x27cf0
mapselect,0x27cf0,0x29180
cardselect,0x29180,0x29a90
gamesetup,0x29a90,0x29fb0
animmgr,0x29fb0,0x2d410
mapmgr,0x2d410,0x37440
gauges,0x37440,0x390c0
dynsimulator,0x390c0,0x3b3d0
panitestsection,0x3b3d0,0x3d6e0
panianimator,0x3d6e0,0x3e8b0
pcamcameramanager,0x3e8b0,0x3f340
tekimgr,0x3f340,0x40c30
nakatacode,0x40c30,0x40dc0
pcamcamera,0x40dc0,0x44030
panipikianimmgr,0x44030,0x44540
panitekianimator,0x44540,0x44b80
nlibmath,0x44b80,0x44e90
nlibsystem,0x44e90,0x46790
pcammotionevents,0x46790,0x47460
nlibgeometry,0x47460,0x4c970
nlibstring,0x4c970,0x4d490
tekinakata,0x4d490,0x4edd0
tekistrategy,0x4edd0,0x4f070
tekianimationmanager,0x4f070,0x4f2f0
tekibteki,0x4f2f0,0x58710
teki,0x58710,0x58860
pcamcameraparameters,0x58860,0x59e40
nlibgraphics,0x59e40,0x5a0b0
nlibgeometry3d,0x5a0b0,0x5c090
peve,0x5c090,0x5cd00
pevemotionevents,0x5cd00,0x5e980
peveconditions,0x5e980,0x5f060
nlibfunction,0x5f060,0x5fc20
taichappy,0x5fc20,0x64920
taiotimoti,0x64920,0x69f60
taiswallow,0x69f60,0x6e690
taishell,0x6e690,0x70a10
taicollec,0x70a10,0x76d40
tainapkid,0x76d40,0x7e820
taikinoko,0x7e820,0x82090
taipalm,0x82090,0x83bc0
taimizinko,0x83bc0,0x86990
taiiwagen,0x86990,0x87ff0
tekipersonality,0x87ff0,0x88e80
tekiconditions,0x88e80,0x897a0
tekiinteraction,0x897a0,0x899e0
tekievent,0x899e0,0x89ac0
paraparameters,0x89ac0,0x8a6d0
nlibspline,0x8a6d0,0x8d0b0
tekiparameters,0x8d0b0,0x8e800
tai,0x8e800,0x8f2f0
taireactionactions,0x8f2f0,0x8fe00
taieffectactions,0x8fe00,0x8fff0
taimotionactions,0x8fff0,0x908d0
taiattackactions,0x908d0,0x915c0
taibasicactions,0x915c0,0x91940
taijudgementactions,0x91940,0x91fe0
taimessageactions,0x91fe0,0x921d0
taimoveactions,0x921d0,0x93bb0
taitimeractions,0x93bb0,0x93e30
taiwaitactions,0x93e30,0x93f40
taicollisionactions,0x93f40,0x94320
tekinteki,0x94320,0x947f0
itemmgr,0x947f0,0x9a690
playerstate,0x9a690,0x9e930
pikiinf,0x9e930,0xa05d0
memstat,0xa05d0,0xa0db0
demoevent,0xa0db0,0xa1540
navi,0xa1540,0xaee00
navimgr,0xaee00,0xaf820
gamecoresection,0xaf820,0xb6120
soundmgr,0xb6120,0xb8040
gamestat,0xb8040,0xb8b60
resultflag,0xb8b60,0xb97f0
gamedemo,0xb97f0,0xbaad0
generatorcache,0xbaad0,0xbcbc0
globalshapes,0xbcbc0,0xbcec0
fastgrid,0xbcec0,0xbe600
aiperf,0xbe600,0xc0990
