decorated,owner_unit,n_emitters,method
??0ANode@@QAE@ABV0@@Z,graphics,24,ilk-range
??0ANode@@QAE@XZ,graphics,24,ilk-range
??0AgeServer@@QAE@ABV0@@Z,graphics,14,ilk-range
??0AgeServer@@QAE@XZ,graphics,14,ilk-range
??0AnimContext@@QAE@ABV0@@Z,graphics,12,ilk-range
??0AnimContext@@QAE@XZ,graphics,12,ilk-range
??0AnimData@@QAE@ABV0@@Z,graphics,12,ilk-range
??0AnimData@@QAE@PAD@Z,graphics,12,ilk-range
??0AnimDck@@QAE@ABV0@@Z,graphics,12,ilk-range
??0AnimDck@@QAE@PAD@Z,graphics,12,ilk-range
??0AtxCommandStream@@QAE@ABV0@@Z,graphics,15,ilk-range
??0AtxCommandStream@@QAE@PAVBaseApp@@@Z,graphics,15,ilk-range
??0AtxFileStream@@QAE@ABV0@@Z,graphics,15,ilk-range
??0AtxFileStream@@QAE@XZ,graphics,15,ilk-range
??0AtxStream@@QAE@ABV0@@Z,graphics,15,ilk-range
??0AtxStream@@QAE@XZ,graphics,15,ilk-range
??0AyuHeap@@QAE@XZ,graphics,24,ilk-range
??0AyuStack@@QAE@XZ,graphics,24,ilk-range
??0BaseApp@@QAE@ABV0@@Z,atx,4,ilk-range
??0BaseCollTriInfo@@QAE@ABV0@@Z,graphics,11,ilk-range
??0BaseCollTriInfo@@QAE@XZ,graphics,11,ilk-range
??0BaseShape@@QAE@ABV0@@Z,graphics,11,ilk-range
??0BoundBox@@QAE@AAVVector3f@@0@Z,graphics,11,ilk-range
??0BoundBox@@QAE@ABV0@@Z,graphics,11,ilk-range
??0BoundBox@@QAE@XZ,graphics,11,ilk-range
??0CamDataInfo@@QAE@ABV0@@Z,graphics,12,ilk-range
??0Camera@@QAE@ABV0@@Z,graphics,12,ilk-range
??0CollGroup@@QAE@XZ,graphics,11,ilk-range
??0CollTriInfo@@QAE@ABV0@@Z,graphics,11,ilk-range
??0CollTriInfo@@QAE@XZ,graphics,11,ilk-range
??0Colour@@QAE@XZ,graphics,12,ilk-range
??0Controller@@QAE@ABV0@@Z,controller,24,ilk-range
??0ControllerMgr@@QAE@ABV0@@Z,graphics,24,ilk-range
??0CoreNode@@QAE@ABV0@@Z,graphics,24,ilk-range
??0CoreNode@@QAE@PAD@Z,graphics,24,ilk-range
??0CullFrustum@@QAE@ABV0@@Z,graphics,12,ilk-range
??0CullFrustum@@QAE@XZ,graphics,12,ilk-range
??0CullingPlane@@QAE@ABV0@@Z,graphics,12,ilk-range
??0CullingPlane@@QAE@XZ,graphics,12,ilk-range
??0EditNode@@QAE@ABV0@@Z,graphics,11,ilk-range
??0GfxObject@@QAE@ABV0@@Z,graphics,13,ilk-range
??0GfxobjInfo@@QAE@ABV0@@Z,graphics,24,ilk-range
??0GfxobjInfo@@QAE@XZ,shapeBase,2,link-order
??0Graphics@@QAE@ABV0@@Z,graphics,9,ilk-range
??0LFlareGroup@@QAE@ABV0@@Z,graphics,12,ilk-range
??0LFlareGroup@@QAE@XZ,graphics,12,ilk-range
??0Light@@QAE@ABV0@@Z,graphics,12,ilk-range
??0LightCamera@@QAE@ABV0@@Z,graphics,12,ilk-range
??0LightCamera@@QAE@XZ,graphics,12,ilk-range
??0LightDataInfo@@QAE@ABV0@@Z,graphics,12,ilk-range
??0LightDataInfo@@QAE@XZ,graphics,12,ilk-range
??0LightFlare@@QAE@ABV0@@Z,graphics,11,ilk-range
??0LightFlare@@QAE@XZ,shapeBase,2,link-order
??0LightGroup@@QAE@ABV0@@Z,graphics,11,ilk-range
??0Material@@QAE@ABV0@@Z,graphics,11,ilk-range
??0Material@@QAE@XZ,graphics,11,ilk-range
??0MaterialHandler@@QAE@ABV0@@Z,graphics,11,ilk-range
??0MaterialHandler@@QAE@XZ,graphics,11,ilk-range
??0Matrix4f@@QAE@XZ,graphics,25,ilk-range
??0Node@@QAE@ABV0@@Z,graphics,24,ilk-range
??0Node@@QAE@PAD@Z,graphics,24,ilk-range
??0ObjCollInfo@@QAE@ABV0@@Z,graphics,11,ilk-range
??0ObjCollInfo@@QAE@XZ,shapeBase,2,link-order
??0PVWLightingInfo@@QAE@XZ,graphics,11,ilk-range
??0PVWPolygonColourInfo@@QAE@XZ,graphics,11,ilk-range
??0PVWTextureInfo@@QAE@ABV0@@Z,graphics,11,ilk-range
??0PVWTextureInfo@@QAE@XZ,graphics,11,ilk-range
??0Plane@@QAE@ABV0@@Z,graphics,12,ilk-range
??0Plane@@QAE@XZ,graphics,12,ilk-range
??0Quat@@QAE@ABV0@@Z,graphics,25,ilk-range
??0Quat@@QAE@MMMM@Z,graphics,25,ilk-range
??0Quat@@QAE@XZ,graphics,25,ilk-range
??0RamStream@@QAE@ABV0@@Z,graphics,27,ilk-range
??0RamStream@@QAE@PAXH@Z,graphics,27,ilk-range
??0RandomAccessStream@@QAE@ABV0@@Z,graphics,27,ilk-range
??0RandomAccessStream@@QAE@XZ,graphics,27,ilk-range
??0RectArea@@QAE@HHHH@Z,graphics,11,ilk-range
??0RectArea@@QAE@XZ,graphics,11,ilk-range
??0RouteGroup@@QAE@ABV0@@Z,graphics,11,ilk-range
??0RouteLink@@QAE@ABV0@@Z,graphics,11,ilk-range
??0RoutePoint@@QAE@ABV0@@Z,graphics,11,ilk-range
??0SRT@@QAE@ABV0@@Z,graphics,25,ilk-range
??0SRT@@QAE@XZ,graphics,25,ilk-range
??0ShapeDynMaterials@@QAE@XZ,graphics,11,ilk-range
??0StdSystem@@QAE@ABV0@@Z,graphics,24,ilk-range
??0Stream@@QAE@ABV0@@Z,graphics,27,ilk-range
??0Stream@@QAE@XZ,graphics,27,ilk-range
??0String@@QAE@H@Z,graphics,17,ilk-range
??0String@@QAE@PADH@Z,graphics,17,ilk-range
??0String@@QAE@XZ,graphics,17,ilk-range
??0System@@QAE@ABV0@@Z,graphics,24,ilk-range
??0TexImg@@QAE@XZ,shapeBase,4,link-order
??0Texture@@QAE@ABV0@@Z,graphics,13,ilk-range
??0Timers@@QAE@XZ,shapeBase,4,link-order
??0Vector2f@@QAE@ABM0@Z,graphics,25,ilk-range
??0Vector2f@@QAE@XZ,graphics,25,ilk-range
??0Vector3f@@QAE@ABM00@Z,graphics,25,ilk-range
??0Vector3f@@QAE@ABV0@@Z,graphics,25,ilk-range
??0Vector3f@@QAE@XZ,graphics,25,ilk-range
??4ANode@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4AgeServer@@QAEAAV0@ABV0@@Z,graphics,14,ilk-range
??4AnimContext@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4AnimData@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4AnimDck@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4AnimFrameCacher@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4AtxCommandStream@@QAEAAV0@ABV0@@Z,graphics,15,ilk-range
??4AtxFileStream@@QAEAAV0@ABV0@@Z,graphics,15,ilk-range
??4AtxStream@@QAEAAV0@ABV0@@Z,graphics,15,ilk-range
??4AyuHeap@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4AyuStack@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4BaseApp@@QAEAAV0@ABV0@@Z,atx,4,ilk-range
??4BaseShape@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4BoundBox@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4CamDataInfo@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4Camera@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4CmdStream@@QAEAAV0@ABV0@@Z,graphics,13,ilk-range
??4CollGroup@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4CollTriInfo@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4Colour@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4Controller@@QAEAAV0@ABV0@@Z,controller,24,ilk-range
??4ControllerMgr@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4CoreNode@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4CullFrustum@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4EditNode@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4Font@@QAEAAV0@ABV0@@Z,graphics,6,ilk-range
??4GfxObject@@QAEAAV0@ABV0@@Z,graphics,13,ilk-range
??4GfxobjInfo@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4Graphics@@QAEAAV0@ABV0@@Z,graphics,9,ilk-range
??4ID32@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4LFlareGroup@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4Light@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4LightCamera@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4LightDataInfo@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4LightFlare@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4LightGroup@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4Material@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
