rva,va,kind,size,name_mangled,name,source
0x00001005,0x10001005,thunk,5,,sub_10001005,ida
0x0000100a,0x1000100a,thunk,5,,sub_1000100A,ida
0x0000100f,0x1000100f,thunk,5,??4ControllerMgr@@QAEAAV0@ABV0@@Z,ControllerMgr::operator=(ControllerMgr const &),export+ida
0x00001014,0x10001014,thunk,5,?writeString@Stream@@UAEXAAVString@@@Z,Stream::writeString(String &),export+ida
0x00001019,0x10001019,thunk,5,?writeType@AnimData@@UAEXAAVRandomAccessStream@@@Z,AnimData::writeType(RandomAccessStream &),export+ida
0x0000101e,0x1000101e,thunk,5,??4Vector2i@@QAEAAV0@ABV0@@Z,Vector2i::operator=(Vector2i const &),export+ida
0x00001023,0x10001023,thunk,5,??0MatPoly@Joint@@QAE@XZ,Joint::MatPoly::MatPoly(void),export+ida
0x00001028,0x10001028,thunk,5,??4Matrix4f@@QAEAAV0@ABV0@@Z,Matrix4f::operator=(Matrix4f const &),export+ida
0x0000102d,0x1000102d,thunk,5,?parse@AnimDca@@QAEXPAVCmdStream@@@Z,AnimDca::parse(CmdStream *),export+ida
0x00001032,0x10001032,thunk,5,?set@Quat@@QAEXMMMM@Z,"Quat::set(float,float,float,float)",export+ida
0x00001037,0x10001037,thunk,5,?read@BufferedInputStream@@UAEXPAXH@Z,"BufferedInputStream::read(void *,int)",export+ida
0x0000103c,0x1000103c,thunk,5,?initLightmap@LightCamera@@QAEXHH@Z,"LightCamera::initLightmap(int,int)",export+ida
0x00001041,0x10001041,thunk,5,??0GfxInfo@@QAE@XZ,GfxInfo::GfxInfo(void),export+ida
0x00001046,0x10001046,thunk,5,??4Module@@QAEAAV0@ABV0@@Z,Module::operator=(Module const &),export+ida
0x0000104b,0x1000104b,thunk,5,?SetElement@Matrix3f@@QAEAAV1@HHM@Z,"Matrix3f::SetElement(int,int,float)",export+ida
0x00001050,0x10001050,thunk,5,??4BaseCollTriInfo@@QAEAAV0@ABV0@@Z,BaseCollTriInfo::operator=(BaseCollTriInfo const &),export+ida
0x00001055,0x10001055,thunk,5,,sub_10001055,ida
0x0000105a,0x1000105a,thunk,5,?flushLFlares@StdSystem@@QAEXAAVGraphics@@@Z,StdSystem::flushLFlares(Graphics &),export+ida
0x0000105f,0x1000105f,thunk,5,?rotate@Matrix4f@@QAEXAAVVector3f@@@Z,Matrix4f::rotate(Vector3f &),export+ida
0x00001064,0x10001064,thunk,5,??4CacheTexture@@QAEAAV0@ABV0@@Z,CacheTexture::operator=(CacheTexture const &),export+ida
0x00001069,0x10001069,thunk,5,??0AnimData@@QAE@ABV0@@Z,AnimData::AnimData(AnimData const &),export+ida
0x0000106e,0x1000106e,thunk,5,?draw@Timers@@QAEXAAVGraphics@@PAVFont@@@Z,"Timers::draw(Graphics &,Font *)",export+ida
0x00001073,0x10001073,thunk,5,??4AnimContext@@QAEAAV0@ABV0@@Z,AnimContext::operator=(AnimContext const &),export+ida
0x00001078,0x10001078,thunk,5,?remove@CacheInfo@@QAEXXZ,CacheInfo::remove(void),export+ida
0x0000107d,0x1000107d,thunk,5,?getFree@AyuStack@@QAEHXZ,AyuStack::getFree(void),export+ida
0x00001082,0x10001082,thunk,5,?nextChar@CmdStream@@QAEDXZ,CmdStream::nextChar(void),export+ida
0x00001087,0x10001087,thunk,5,?recOverrideAnim@Joint@@QAEXPAVAnimContext@@@Z,Joint::recOverrideAnim(AnimContext *),export+ida
0x0000108c,0x1000108c,thunk,5,??4String@@QAEAAV0@ABV0@@Z,String::operator=(String const &),export+ida
0x00001091,0x10001091,thunk,5,??1SplitBar@@QAE@XZ,SplitBar::~SplitBar(void),export+ida
0x00001096,0x10001096,thunk,5,?write@Texture@@QAEXPAVStream@@@Z,Texture::write(Stream *),export+ida
0x0000109b,0x1000109b,thunk,5,?calcBoxLighting@Graphics@@QAEHAAVBoundBox@@@Z,Graphics::calcBoxLighting(BoundBox &),export+ida
0x000010a0,0x100010a0,thunk,5,??0Vector3f@@QAE@ABM00@Z,"Vector3f::Vector3f(float const &,float const &,float const &)",export+ida
0x000010a5,0x100010a5,thunk,5,,sub_100010A5,ida
0x000010aa,0x100010aa,thunk,5,?entryHandler@ComboBox@@UAEXPAD@Z,ComboBox::entryHandler(char *),export+ida
0x000010af,0x100010af,thunk,5,?makeBallRotate@Matrix4f@@QAEXAAVVector3f@@@Z,Matrix4f::makeBallRotate(Vector3f &),export+ida
0x000010b4,0x100010b4,thunk,5,?readInt@Stream@@UAEHXZ,Stream::readInt(void),export+ida
0x000010b9,0x100010b9,thunk,5,?set@Vector2f@@QAEXMM@Z,"Vector2f::set(float,float)",export+ida
0x000010be,0x100010be,thunk,5,??0BufferedStream@@QAE@ABV0@@Z,BufferedStream::BufferedStream(BufferedStream const &),export+ida
0x000010c3,0x100010c3,thunk,5,?animate@PVWPolygonColourInfo@@QAEXPAMAAVColour@@@Z,"PVWPolygonColourInfo::animate(float *,Colour &)",export+ida
0x000010c8,0x100010c8,thunk,5,?ageDel@LightGroup@@QAEXAAVAgeServer@@@Z,LightGroup::ageDel(AgeServer &),export+ida
0x000010cd,0x100010cd,thunk,5,?read@DataChunk@@QAEXAAVRandomAccessStream@@@Z,DataChunk::read(RandomAccessStream &),export+ida
0x000010d2,0x100010d2,thunk,5,?recFindNode@NodeMgr@@QAEXPAVCoreNode@@PAD@Z,"NodeMgr::recFindNode(CoreNode *,char *)",export+ida
0x000010d7,0x100010d7,thunk,5,??0TexCacheInfo@@QAE@XZ,TexCacheInfo::TexCacheInfo(void),export+ida
0x000010dc,0x100010dc,thunk,5,?getFrameCount@System@@QAE_HXZ,System::getFrameCount(void),export+ida
0x000010e1,0x100010e1,thunk,5,??0PVWTextureInfo@@QAE@ABV0@@Z,PVWTextureInfo::PVWTextureInfo(PVWTextureInfo const &),export+ida
0x000010e6,0x100010e6,thunk,5,?isSame@PVWTevInfo@@QAE_NAAV1@@Z,PVWTevInfo::isSame(PVWTevInfo &),export+ida
0x000010eb,0x100010eb,thunk,5,?write@PVWLightingInfo@@QAEXAAVRandomAccessStream@@@Z,PVWLightingInfo::write(RandomAccessStream &),export+ida
0x000010f5,0x100010f5,thunk,5,??0BufferedInputStream@@QAE@PAVStream@@PA_EH@Z,"BufferedInputStream::BufferedInputStream(Stream *,unsigned __int8 *,int)",export+ida
0x000010fa,0x100010fa,thunk,5,??0BinobjInfo@@QAE@XZ,BinobjInfo::BinobjInfo(void),export+ida
0x000010ff,0x100010ff,thunk,5,,sub_100010FF,ida
0x00001104,0x10001104,thunk,5,?read@AnimDca@@UAEXAAVRandomAccessStream@@@Z,AnimDca::read(RandomAccessStream &),export+ida
0x00001109,0x10001109,thunk,5,?write@TexImg@@UAEXAAVRandomAccessStream@@@Z,TexImg::write(RandomAccessStream &),export+ida
0x0000110e,0x1000110e,thunk,5,,sub_1000110E,ida
0x00001113,0x10001113,thunk,5,?setID@ID32@@QAEX_I@Z,ID32::setID(unsigned __int32),export+ida
0x00001118,0x10001118,thunk,5,??4TextureCacher@@QAEAAV0@ABV0@@Z,TextureCacher::operator=(TextureCacher const &),export+ida
0x0000111d,0x1000111d,thunk,5,?optimize@BaseShape@@UAEXXZ,BaseShape::optimize(void),export+ida
0x00001122,0x10001122,thunk,5,?getPending@RandomAccessStream@@UAEHXZ,RandomAccessStream::getPending(void),export+ida
0x00001127,0x10001127,thunk,5,?prepareTriList@DispList@@QAEXPAVTriStripifier@@@Z,DispList::prepareTriList(TriStripifier *),export+ida
