target,ordinal,rva,va,real_rva,real_va,forwarder,mangled,demangled
sysCore,323,0x0000100f,0x1000100f,0x00016170,0x10016170,,??4ControllerMgr@@QAEAAV0@ABV0@@Z,public: class ControllerMgr & __thiscall ControllerMgr::operator=(class ControllerMgr const &)
sysCore,1473,0x00001014,0x10001014,0x000562d0,0x100562d0,,?writeString@Stream@@UAEXAAVString@@@Z,public: virtual void __thiscall Stream::writeString(class String &)
sysCore,1476,0x00001019,0x10001019,0x0001f450,0x1001f450,,?writeType@AnimData@@UAEXAAVRandomAccessStream@@@Z,public: virtual void __thiscall AnimData::writeType(class RandomAccessStream &)
sysCore,435,0x0000101e,0x1000101e,0x000098d0,0x100098d0,,??4Vector2i@@QAEAAV0@ABV0@@Z,public: class Vector2i & __thiscall Vector2i::operator=(class Vector2i const &)
sysCore,152,0x00001023,0x10001023,0x0001dff0,0x1001dff0,,??0MatPoly@Joint@@QAE@XZ,public: __thiscall Joint::MatPoly::MatPoly(void)
sysCore,368,0x00001028,0x10001028,0x000127b0,0x100127b0,,??4Matrix4f@@QAEAAV0@ABV0@@Z,public: class Matrix4f & __thiscall Matrix4f::operator=(class Matrix4f const &)
sysCore,1115,0x0000102d,0x1000102d,0x0002b440,0x1002b440,,?parse@AnimDca@@QAEXPAVCmdStream@@@Z,public: void __thiscall AnimDca::parse(class CmdStream *)
sysCore,1281,0x00001032,0x10001032,0x0000c110,0x1000c110,,?set@Quat@@QAEXMMMM@Z,"public: void __thiscall Quat::set(float, float, float, float)"
sysCore,1152,0x00001037,0x10001037,0x00056a60,0x10056a60,,?read@BufferedInputStream@@UAEXPAXH@Z,"public: virtual void __thiscall BufferedInputStream::read(void *, int)"
sysCore,987,0x0000103c,0x1000103c,0x00051420,0x10051420,,?initLightmap@LightCamera@@QAEXHH@Z,"public: void __thiscall LightCamera::initLightmap(int, int)"
sysCore,112,0x00001041,0x10001041,0x0001c5e0,0x1001c5e0,,??0GfxInfo@@QAE@XZ,public: __thiscall GfxInfo::GfxInfo(void)
sysCore,372,0x00001046,0x10001046,0x00066150,0x10066150,,??4Module@@QAEAAV0@ABV0@@Z,public: class Module & __thiscall Module::operator=(class Module const &)
sysCore,597,0x0000104b,0x1000104b,0x00011470,0x10011470,,?SetElement@Matrix3f@@QAEAAV1@HHM@Z,"public: class Matrix3f & __thiscall Matrix3f::SetElement(int, int, float)"
sysCore,302,0x00001050,0x10001050,0x0000e810,0x1000e810,,??4BaseCollTriInfo@@QAEAAV0@ABV0@@Z,public: class BaseCollTriInfo & __thiscall BaseCollTriInfo::operator=(class BaseCollTriInfo const &)
sysCore,829,0x0000105a,0x1000105a,0x000551f0,0x100551f0,,?flushLFlares@StdSystem@@QAEXAAVGraphics@@@Z,public: void __thiscall StdSystem::flushLFlares(class Graphics &)
sysCore,1252,0x0000105f,0x1000105f,0x00012320,0x10012320,,?rotate@Matrix4f@@QAEXAAVVector3f@@@Z,public: void __thiscall Matrix4f::rotate(class Vector3f &)
sysCore,312,0x00001064,0x10001064,0x00021b60,0x10021b60,,??4CacheTexture@@QAEAAV0@ABV0@@Z,public: class CacheTexture & __thiscall CacheTexture::operator=(class CacheTexture const &)
sysCore,9,0x00001069,0x10001069,0x0001f480,0x1001f480,,??0AnimData@@QAE@ABV0@@Z,public: __thiscall AnimData::AnimData(class AnimData const &)
sysCore,776,0x0000106e,0x1000106e,0x000579c0,0x100579c0,,?draw@Timers@@QAEXAAVGraphics@@PAVFont@@@Z,"public: void __thiscall Timers::draw(class Graphics &, class Font *)"
sysCore,284,0x00001073,0x10001073,0x0001fc80,0x1001fc80,,??4AnimContext@@QAEAAV0@ABV0@@Z,public: class AnimContext & __thiscall AnimContext::operator=(class AnimContext const &)
sysCore,1218,0x00001078,0x10001078,0x00014e20,0x10014e20,,?remove@CacheInfo@@QAEXXZ,public: void __thiscall CacheInfo::remove(void)
sysCore,889,0x0000107d,0x1000107d,0x00005310,0x10005310,,?getFree@AyuStack@@QAEHXZ,public: int __thiscall AyuStack::getFree(void)
sysCore,1091,0x00001082,0x10001082,0x00052460,0x10052460,,?nextChar@CmdStream@@QAEDXZ,public: char __thiscall CmdStream::nextChar(void)
sysCore,1204,0x00001087,0x10001087,0x00025fa0,0x10025fa0,,?recOverrideAnim@Joint@@QAEXPAVAnimContext@@@Z,public: void __thiscall Joint::recOverrideAnim(class AnimContext *)
sysCore,419,0x0000108c,0x1000108c,0x0001cd70,0x1001cd70,,??4String@@QAEAAV0@ABV0@@Z,public: class String & __thiscall String::operator=(class String const &)
sysCore,274,0x00001091,0x10001091,0x000655f0,0x100655f0,,??1SplitBar@@QAE@XZ,public: __thiscall SplitBar::~SplitBar(void)
sysCore,1460,0x00001096,0x10001096,0x00060730,0x10060730,,?write@Texture@@QAEXPAVStream@@@Z,public: void __thiscall Texture::write(class Stream *)
sysCore,666,0x0000109b,0x1000109b,0x00011ea0,0x10011ea0,,?calcBoxLighting@Graphics@@QAEHAAVBoundBox@@@Z,public: int __thiscall Graphics::calcBoxLighting(class BoundBox &)
sysCore,258,0x000010a0,0x100010a0,0x00009980,0x10009980,,??0Vector3f@@QAE@ABM00@Z,"public: __thiscall Vector3f::Vector3f(float const &, float const &, float const &)"
sysCore,791,0x000010aa,0x100010aa,0x00065840,0x10065840,,?entryHandler@ComboBox@@UAEXPAD@Z,public: virtual void __thiscall ComboBox::entryHandler(char *)
sysCore,1053,0x000010af,0x100010af,0x0003e210,0x1003e210,,?makeBallRotate@Matrix4f@@QAEXAAVVector3f@@@Z,public: void __thiscall Matrix4f::makeBallRotate(class Vector3f &)
sysCore,1194,0x000010b4,0x100010b4,0x00055c10,0x10055c10,,?readInt@Stream@@UAEHXZ,public: virtual int __thiscall Stream::readInt(void)
sysCore,1283,0x000010b9,0x100010b9,0x000094b0,0x100094b0,,?set@Vector2f@@QAEXMM@Z,"public: void __thiscall Vector2f::set(float, float)"
sysCore,57,0x000010be,0x100010be,0x00007ef0,0x10007ef0,,??0BufferedStream@@QAE@ABV0@@Z,public: __thiscall BufferedStream::BufferedStream(class BufferedStream const &)
sysCore,639,0x000010c3,0x100010c3,0x00004f30,0x10004f30,,?animate@PVWPolygonColourInfo@@QAEXPAMAAVColour@@@Z,"public: void __thiscall PVWPolygonColourInfo::animate(float *, class Colour &)"
sysCore,634,0x000010c8,0x100010c8,0x000388d0,0x100388d0,,?ageDel@LightGroup@@QAEXAAVAgeServer@@@Z,public: void __thiscall LightGroup::ageDel(class AgeServer &)
sysCore,1156,0x000010cd,0x100010cd,0x0001ea60,0x1001ea60,,?read@DataChunk@@QAEXAAVRandomAccessStream@@@Z,public: void __thiscall DataChunk::read(class RandomAccessStream &)
sysCore,1203,0x000010d2,0x100010d2,0x0003d780,0x1003d780,,?recFindNode@NodeMgr@@QAEXPAVCoreNode@@PAD@Z,"public: void __thiscall NodeMgr::recFindNode(class CoreNode *, char *)"
sysCore,237,0x000010d7,0x100010d7,0x00014ed0,0x10014ed0,,??0TexCacheInfo@@QAE@XZ,public: __thiscall TexCacheInfo::TexCacheInfo(void)
sysCore,886,0x000010dc,0x100010dc,0x00016ac0,0x10016ac0,,?getFrameCount@System@@QAE_HXZ,?getFrameCount@System@@QAE_HXZ
sysCore,187,0x000010e1,0x100010e1,0x0001a950,0x1001a950,,??0PVWTextureInfo@@QAE@ABV0@@Z,public: __thiscall PVWTextureInfo::PVWTextureInfo(class PVWTextureInfo const &)
sysCore,1012,0x000010e6,0x100010e6,0x00009a40,0x10009a40,,?isSame@PVWTevInfo@@QAE_NAAV1@@Z,public: bool __thiscall PVWTevInfo::isSame(class PVWTevInfo &)
sysCore,1443,0x000010eb,0x100010eb,0x00004e70,0x10004e70,,?write@PVWLightingInfo@@QAEXAAVRandomAccessStream@@@Z,public: void __thiscall PVWLightingInfo::write(class RandomAccessStream &)
sysCore,53,0x000010f5,0x100010f5,0x00056920,0x10056920,,??0BufferedInputStream@@QAE@PAVStream@@PA_EH@Z,??0BufferedInputStream@@QAE@PAVStream@@PA_EH@Z
sysCore,48,0x000010fa,0x100010fa,0x00014a90,0x10014a90,,??0BinobjInfo@@QAE@XZ,public: __thiscall BinobjInfo::BinobjInfo(void)
sysCore,1144,0x00001104,0x10001104,0x0002aa10,0x1002aa10,,?read@AnimDca@@UAEXAAVRandomAccessStream@@@Z,public: virtual void __thiscall AnimDca::read(class RandomAccessStream &)
sysCore,1459,0x00001109,0x10001109,0x0000db80,0x1000db80,,?write@TexImg@@UAEXAAVRandomAccessStream@@@Z,public: virtual void __thiscall TexImg::write(class RandomAccessStream &)
sysCore,1306,0x00001113,0x10001113,0x00052f60,0x10052f60,,?setID@ID32@@QAEX_I@Z,?setID@ID32@@QAEX_I@Z
