rva,kind,size,name_mangled,name,source
0x00001005,thunk,5,,operatorNewBracket,ida
0x0000100a,thunk,5,,speedy_sqrtf,ida
0x0000100f,thunk,5,,NewObject,ida
0x00001014,thunk,5,,j_PlugPikiApp::draw,ida
0x00001019,thunk,5,,construct_new_array,ida
0x0000101e,thunk,5,,System::alloc,ida
0x00001023,thunk,5,,sub_10001023,ida
0x00001028,thunk,5,,sub_10001028,ida
0x0000102d,thunk,5,,j_PlugPikiApp::PlugPikiApp,ida
0x00001032,thunk,5,,GetObjectList,ida
0x00001037,thunk,5,,sub_10001037,ida
0x00001041,thunk,5,,PlugPikiApp::hardReset@,ida
0x00001046,thunk,5,,sub_10001046,ida
0x0000104b,thunk,5,,sub_1000104B,ida
0x00001050,thunk,5,,j_std::sqrtf,ida
0x00001055,thunk,5,_DllMain@12,"DllMain(x,x,x)",ida
0x0000105a,thunk,5,,j_PlugPikiApp::idle,ida
0x0000105f,thunk,5,,new_array,ida
0x00001064,thunk,5,,sub_10001064,ida
0x00001069,thunk,5,,sub_10001069,ida
0x0000106e,thunk,5,,AutoStart,ida
0x00001078,thunk,5,,sub_10001078,ida
0x00001100,function,61,_DllMain@12_0,_DllMain@12_0,ida
0x00001150,function,53,,sqrtf,ida
0x000011a0,function,61,,std::sqrtf,ida
0x000011f0,function,84,,sub_100011F0,ida
0x00001260,function,273,,sub_10001260,ida
0x000013c0,function,128,,sysNew_Error,ida
0x00001460,function,227,,sysNew_Print,ida
0x00001580,function,273,,sub_10001580,ida
0x00001760,function,91,,sub_10001760,ida
0x000017e0,function,78,,sub_100017E0,ida
0x00001850,function,78,,sub_10001850,ida
0x000018c0,function,134,,sub_100018C0,ida
0x00001970,function,46,,sub_10001970,ida
0x000019b0,function,125,,sub_100019B0,ida
0x00001a50,function,110,,NewObject_0,ida
0x00001ae0,function,36,,GetObjectList_0,ida
0x00001b10,function,31,,AutoStart_0,ida
0x00001b40,function,67,,sub_10001B40,ida
0x00001ba0,function,497,,PlugPikiApp::hardReset,ida
0x00001e10,function,84,,sub_10001E10,ida
0x00001e80,function,87,,sub_10001E80,ida
0x00001ef0,function,1813,,PlugPikiApp::draw,ida
0x000027d0,function,605,,PlugPikiApp::idle,ida
0x00002ad0,function,227,,plugPiki_Print,ida
0x00002bf0,function,554,,PlugPikiApp::PlugPikiApp,ida
0x00002eb0,function,81,,sub_10002EB0,ida
0x00002f20,function,64,,sub_10002F20,ida
0x00002f70,thunk,6,?push@AyuStack@@QAEPAXH@Z,AyuStack::push(int),ida
0x00002f76,thunk,6,?halt@System@@SAXPADH0@Z,"System::halt(char *,int,char *)",ida
0x00002f7c,thunk,6,?print@Stream@@QAAXPADZZ,"Stream::print(char *,...)",ida
0x00002f82,thunk,6,?softReset@StdSystem@@QAEXXZ,StdSystem::softReset(void),ida
0x00002f88,thunk,6,?resetHeap@StdSystem@@QAEXHH@Z,"StdSystem::resetHeap(int,int)",ida
0x00002f8e,thunk,6,?init@AyuHeap@@QAEXPADHPAXH@Z,"AyuHeap::init(char *,int,void *,int)",ida
0x00002f94,thunk,6,?setAllocType@AyuStack@@QAEHH@Z,AyuStack::setAllocType(int),ida
0x00002f9a,thunk,6,?getMaxFree@AyuStack@@QAEHXZ,AyuStack::getMaxFree(void),ida
0x00002fa0,thunk,6,?getHeap@StdSystem@@QAEPAVAyuHeap@@H@Z,StdSystem::getHeap(int),ida
0x00002fa6,thunk,6,??0Timers@@QAE@XZ,Timers::Timers(void),ida
0x00002fac,thunk,6,?softReset@BaseApp@@UAEXXZ,BaseApp::softReset(void),ida
0x00002fb2,thunk,6,?update@Node@@UAEXXZ,Node::update(void),ida
0x00002fb8,thunk,6,?stop@Timers@@QAEXPAD@Z,Timers::stop(char *),ida
0x00002fbe,thunk,6,?draw@Timers@@QAEXAAVGraphics@@PAVFont@@@Z,"Timers::draw(Graphics &,Font *)",ida
0x00002fc4,thunk,6,?getFrameTime@System@@QAEMXZ,System::getFrameTime(void),ida
0x00002fca,thunk,6,?getFrameRate@System@@QAEMXZ,System::getFrameRate(void),ida
0x00002fd0,thunk,6,??0Colour@@QAE@_E000@Z,"Colour::Colour(unsigned __int8,unsigned __int8,unsigned __int8,unsigned __int8)",ida
0x00002fd6,thunk,6,??0RectArea@@QAE@HHHH@Z,"RectArea::RectArea(int,int,int,int)",ida
0x00002fdc,thunk,6,??0Matrix4f@@QAE@XZ,Matrix4f::Matrix4f(void),ida
0x00002fe2,thunk,6,?draw@Node@@UAEXAAVGraphics@@@Z,Node::draw(Graphics &),ida
0x00002fe8,thunk,6,?start@Timers@@QAEXPAD_N@Z,"Timers::start(char *,bool)",ida
0x00002fee,thunk,6,?waitRetrace@System@@QAEXXZ,System::waitRetrace(void),ida
0x00002ff4,thunk,6,?_stop@Timers@@QAEXPAD@Z,Timers::_stop(char *),ida
0x00002ffa,thunk,6,?doneRender@System@@QAEXXZ,System::doneRender(void),ida
0x00003000,thunk,6,?renderall@GameApp@@QAEXXZ,GameApp::renderall(void),ida
0x00003006,thunk,6,?beginRender@System@@QAEXXZ,System::beginRender(void),ida
0x0000300c,thunk,6,?attachObjs@StdSystem@@QAEXXZ,StdSystem::attachObjs(void),ida
0x00003012,thunk,6,?reset@Timers@@QAEXXZ,Timers::reset(void),ida
0x00003018,thunk,6,?detachObjs@StdSystem@@QAEXXZ,StdSystem::detachObjs(void),ida
0x0000301e,thunk,6,?_start@Timers@@QAEXPAD_N@Z,"Timers::_start(char *,bool)",ida
0x00003024,thunk,6,?newFrame@Timers@@QAEXXZ,Timers::newFrame(void),ida
0x0000302a,thunk,6,?setHeap@StdSystem@@QAEHH@Z,StdSystem::setHeap(int),ida
0x00003030,thunk,6,?idle@GameApp@@UAEHXZ,GameApp::idle(void),ida
0x00003036,thunk,6,?procCmd@BaseApp@@UAEXPAD@Z,BaseApp::procCmd(char *),ida
0x0000303c,thunk,6,?useHeap@BaseApp@@UAEXH@Z,BaseApp::useHeap(int),ida
0x00003042,thunk,6,?keyDown@BaseApp@@UAE_NHHH@Z,"BaseApp::keyDown(int,int,int)",ida
0x00003048,thunk,6,?InitApp@BaseApp@@UAEXPAD@Z,BaseApp::InitApp(char *),ida
0x0000304e,thunk,6,?getModelMatrix@Node@@UAEPAVMatrix4f@@XZ,Node::getModelMatrix(void),ida
0x00003054,thunk,6,?concat@Node@@UAEXXZ,Node::concat(void),ida
0x0000305a,thunk,6,?concat@Node@@UAEXAAVVQS@@@Z,Node::concat(VQS &),ida
0x00003060,thunk,6,?concat@Node@@UAEXAAVSRT@@@Z,Node::concat(SRT &),ida
0x00003066,thunk,6,?concat@Node@@UAEXAAVMatrix4f@@@Z,Node::concat(Matrix4f &),ida
0x0000306c,thunk,6,?render@Node@@UAEXAAVGraphics@@@Z,Node::render(Graphics &),ida
0x00003072,thunk,6,?read@CoreNode@@UAEXAAVRandomAccessStream@@@Z,CoreNode::read(RandomAccessStream &),ida
0x00003078,thunk,6,?write@CoreNode@@UAEXAAVRandomAccessStream@@@Z,CoreNode::write(RandomAccessStream &),ida
0x0000307e,thunk,6,?getAgeNodeType@CoreNode@@UAEHXZ,CoreNode::getAgeNodeType(void),ida
0x00003084,thunk,6,?genAgeNode@CoreNode@@UAEXAAVAgeServer@@@Z,CoreNode::genAgeNode(AgeServer &),ida
0x0000308a,thunk,6,?genAge@BaseApp@@UAEXAAVAgeServer@@@Z,BaseApp::genAge(AgeServer &),ida
0x00003090,thunk,6,??1GameApp@@UAE@XZ,GameApp::~GameApp(void),ida
0x00003096,thunk,6,?getFree@AyuStack@@QAEHXZ,AyuStack::getFree(void),ida
0x0000309c,thunk,6,?hardReset@System@@QAEXXZ,System::hardReset(void),ida
0x000030a2,thunk,6,?Name@CoreNode@@QAEPADXZ,CoreNode::Name(void),ida
0x000030a8,thunk,6,?open@AtxStream@@QAE_NPADH@Z,"AtxStream::open(char *,int)",ida
0x000030ae,thunk,6,??0AtxCommandStream@@QAE@PAVBaseApp@@@Z,AtxCommandStream::AtxCommandStream(BaseApp *),ida
0x000030b4,thunk,6,?doInitApp@GameApp@@QAEXXZ,GameApp::doInitApp(void),ida
0x000030ba,thunk,6,?setName@CoreNode@@QAEXPAD@Z,CoreNode::setName(char *),ida
0x000030c0,thunk,6,??0GameApp@@QAE@XZ,GameApp::GameApp(void),ida
0x000030c6,thunk,6,,GlobalAlloc,ida
0x000030cc,thunk,6,,GlobalFree,ida
0x000030e0,function,46,,sub_100030E0,ida
0x00003110,function,51,,sub_10003110,ida
0x00003150,function,131,,GameFlow::GameFlow,ida
0x000031e0,function,368,,GameLoadIdler::draw,ida
0x00003350,function,770,,GameFlow::drawLoadLogo,ida
0x00003660,function,70,,WorldClock::setClockSpd,ida
0x000036b0,function,145,,WorldClock::setTime,ida
0x00003750,function,120,,WorldClock::reset,ida
0x000037d0,function,94,,WorldClock::age,ida
0x00003830,function,294,,WorldClock::update,ida
0x00003960,function,158,,GameFlow::menuToggleTimers,ida
0x00003a00,function,138,,GameFlow::menuTogglePrint,ida
0x00003a90,function,138,,GameFlow::menuToggleDInfo,ida
0x00003b20,function,138,,GameFlow::menuToggleDExtra,ida
0x00003bb0,function,138,,GameFlow::menuToggleBlur,ida
0x00003c40,function,138,,GameFlow::menuToggleInfo,ida
0x00003cd0,function,138,,GameFlow::menuToggleColls,ida
0x00003d60,function,1366,,GameFlow::addOptionsMenu,ida
0x000042c0,function,220,,GameFlow::menuChangeFilter,ida
0x000043a0,function,274,,GameFlow::menuIncreaseFilter,ida
0x000044c0,function,270,,GameFlow::menuDecreaseFilter,ida
0x000045d0,function,590,,GameFlow::addFilterMenu,ida
0x00004820,function,63,,sub_10004820,ida
0x00004860,function,31,,preloadLanguage,ida
0x00004880,function,214,,GameFlow::setLoadBanner,ida
0x00004960,function,1189,,GameFlow::hardReset,ida
0x00004e10,function,227,,GameFlow_Print,ida
0x00004f00,function,122,,sub_10004F00,ida
0x00004f80,function,113,,sub_10004F80,ida
0x00005000,function,377,,sub_10005000,ida
0x00005180,function,63,,sub_10005180,ida
0x000051c0,function,63,,sub_100051C0,ida
0x00005200,function,2271,,GameFlow::softReset,ida
0x00005adf,data,24,,jpt_100053FC,ida
0x00005b00,function,66,,NinLogoSection::NinLogoSection,ida
0x00005b50,function,66,,TitlesSection::TitlesSection,ida
0x00005ba0,function,66,,MovSampleSection::MovSampleSection,ida
0x00005bf0,function,66,,PaniTestSection::PaniTestSection,ida
0x00005c40,function,66,,OnePlayerSection::OnePlayerSection,ida
0x00005c90,function,81,,Section::Section,ida
0x00005cf0,function,79,,GameFlow::loadShape,ida
0x00005d40,function,66,,sub_10005D40,ida
0x00005d90,function,197,,GameFlow::addGenNode,ida
0x00005e60,function,91,,sub_10005E60,ida
0x00005ec0,function,131,,sub_10005EC0,ida
0x00005f50,function,42,,ParmF32::operator(),ida
0x00005f80,function,86,,sub_10005F80,ida
0x00005fe0,function,73,,sub_10005FE0,ida
0x00006030,function,86,,sub_10006030,ida
0x00006090,function,73,,sub_10006090,ida
0x000060e0,function,48,,sub_100060E0,ida
0x00006110,function,48,,sub_10006110,ida
0x00006140,function,100,,GamePrefs::GamePrefs,ida
0x000061b0,function,133,,GameHiscores::GameHiscores,ida
0x00006240,function,57,,sub_10006240,ida
0x00006280,function,55,,sub_10006280,ida
0x000062c0,function,57,,sub_100062C0,ida
0x00006300,function,45,,sub_10006300,ida
0x00006330,function,57,,sub_10006330,ida
0x00006370,function,45,,sub_10006370,ida
0x000063a0,function,57,,sub_100063A0,ida
0x000063e0,function,72,,sub_100063E0,ida
0x00006430,function,136,,GamePrefs::Initialise,ida
0x000064c0,function,144,,sub_100064C0,ida
0x00006550,function,95,,PlayState::PlayState,ida
0x000065b0,function,131,,MemoryCard::MemoryCard,ida
0x00006640,function,66,,GameLoadIdler::GameLoadIdler,ida
0x00006690,function,81,,LoadIdler::LoadIdler,ida
0x000066f0,function,36,,sub_100066F0,ida
0x00006720,function,38,,sub_10006720,ida
0x00006750,function,36,,sub_10006750,ida
0x00006780,function,82,,LangMode::set,ida
0x000067e0,function,749,,GameFlow_Parms::GameFlow_Parms,ida
0x00006ad0,function,121,,ParmF32::ParmF32,ida
0x00006b50,function,41,,sub_10006B50,ida
0x00006b80,function,121,,ParmINT::ParmINT,ida
0x00006c00,function,41,,sub_10006C00,ida
0x00006c30,function,229,,ParmSTRING::ParmSTRING,ida
0x00006d20,function,41,,sub_10006D20,ida
0x00006d50,function,63,,ayuID::ayuID,ida
0x00006d90,function,102,,ayuID::set,ida
0x00006e00,function,59,,Parameters::Parameters,ida
0x00006e40,function,84,,sub_10006E40,ida
0x00006ea0,function,681,,Menu::Menu,ida
0x00007150,function,78,,Menu_KeyEvent::insertAfter,ida
0x000071a0,function,63,,Menu_KeyEvent::remove,ida
0x000071e0,function,78,,Menu_MenuItem::insertAfter,ida
0x00007230,function,63,,Menu_MenuItem::remove,ida
0x00007270,function,87,,Menu_KeyEvent::Menu_KeyEvent,ida
0x000072d0,function,260,,Menu_MenuItem::Menu_MenuItem,ida
0x000073e0,function,50,,Menu::setEnter,ida
0x00007420,function,50,,Menu::setOnExit,ida
0x00007460,function,207,,Menu::addKeyEvent,ida
0x00007530,function,39,,Menu::enterOption,ida
0x00007560,function,85,,Menu::enterMenu,ida
0x000075c0,function,83,,Menu::exitMenu,ida
0x00007620,function,88,,Menu::open,ida
0x00007680,function,83,,Menu::close,ida
0x000076e0,function,88,,Menu::resetOptions,ida
0x00007740,function,272,,Menu::addOption,ida
0x00007850,function,258,,Menu::addMenu,ida
0x00007960,function,479,,Menu::checkNewOption,ida
0x00007b40,function,72,,Menu::checkSelectKey,ida
0x00007b90,function,72,,Menu::checkCancelKey,ida
0x00007be0,function,804,,Menu::doUpdate,ida
0x00007f10,function,636,,Menu_MenuItem::checkEvents,ida
0x0000818c,data,24,,jpt_10007F8B,ida
0x000081d0,function,1869,,Menu::draw,ida
0x00008920,function,61,,sinf,ida
0x00008960,function,117,,Menu::menuCloseMenu,ida
0x000089e0,function,181,,BaseParm::BaseParm,ida
0x00008aa0,function,187,,Parameters::write,ida
0x00008b60,function,114,,Parameters::sizeInFile,ida
0x00008be0,function,324,,Parameters::read,ida
0x00008d30,function,112,,Parameters::genAgeParms,ida
0x00008da0,function,196,,Parameters::genAge,ida
0x00008e70,function,73,,ParmCOLOUR::read,ida
0x00008ec0,function,73,,ParmCOLOUR::write,ida
0x00008f10,function,80,,ParmCOLOUR::genAge,ida
0x00008f60,function,73,,ParmVECTOR3F::read,ida
0x00008fb0,function,73,,ParmVECTOR3F::write,ida
0x00009000,function,94,,ParmVECTOR3F::genAge,ida
0x00009060,function,74,,ParmF32::read,ida
0x000090b0,function,75,,ParmF32::write,ida
0x00009100,function,99,,ParmF32::genAge,ida
0x00009170,function,73,,ParmINT::read,ida
0x000091c0,function,75,,ParmINT::write,ida
0x00009210,function,99,,ParmINT::genAge,ida
0x00009280,function,104,,ParmSTRING::read,ida
0x000092f0,function,75,,ParmSTRING::write,ida
0x00009340,function,194,,ParmSTRING::genAge,ida
0x00009410,function,48,,sub_10009410,ida
