rva,kind,size,name_mangled,name,source
0x00001005,thunk,5,,operatorNewBracket,ghidra
0x0000100a,thunk,5,,speedy_sqrtf,ghidra
0x0000100f,thunk,5,,NewObject,ghidra
0x00001019,thunk,5,,construct_new_array,ghidra
0x0000101e,thunk,5,,System::alloc,ghidra
0x00001023,thunk,5,,thunk_FUN_10001b40,ghidra
0x00001028,thunk,5,,thunk_FUN_10001850,ghidra
0x0000102d,thunk,5,,j_PlugPikiApp::PlugPikiApp,ghidra
0x00001032,thunk,5,,GetObjectList,ghidra
0x00001037,thunk,5,,thunk_FUN_100017e0,ghidra
0x00001041,thunk,5,,PlugPikiApp::hardReset@,ghidra
0x00001050,thunk,5,,j_std::sqrtf,ghidra
0x00001055,thunk,5,,_DllMain@12,ghidra
0x0000105f,thunk,5,,new_array,ghidra
0x00001069,thunk,5,,thunk_FUN_10002f20,ghidra
0x0000106e,thunk,5,,AutoStart,ghidra
0x00001100,function,61,,_DllMain@12_0,ghidra
0x00001150,function,53,,sqrtf,ghidra
0x000011a0,function,61,,std::sqrtf,ghidra
0x000011f0,function,84,,FUN_100011f0,ghidra
0x00001260,function,273,,FUN_10001260,ghidra
0x000013c0,function,128,,sysNew_Error,ghidra
0x00001460,function,227,,sysNew_Print,ghidra
0x00001580,function,273,,FUN_10001580,ghidra
0x000016e0,function,91,,FUN_100016e0,ghidra
0x00001760,function,91,,FUN_10001760,ghidra
0x000017e0,function,78,,FUN_100017e0,ghidra
0x00001850,function,78,,FUN_10001850,ghidra
0x000018c0,function,134,,FUN_100018c0,ghidra
0x00001970,function,46,,FUN_10001970,ghidra
0x000019b0,function,125,,FUN_100019b0,ghidra
0x00001a50,function,110,,NewObject_0,ghidra
0x00001ae0,function,36,,GetObjectList_0,ghidra
0x00001b10,function,31,,AutoStart_0,ghidra
0x00001b40,function,67,,FUN_10001b40,ghidra
0x00001ba0,function,497,,PlugPikiApp::hardReset,ghidra
0x00001e10,function,84,,FUN_10001e10,ghidra
0x00001e80,function,87,,FUN_10001e80,ghidra
0x00001ef0,function,1813,,PlugPikiApp::draw,ghidra
0x000027d0,function,605,,PlugPikiApp::idle,ghidra
0x00002ad0,function,227,,plugPiki_Print,ghidra
0x00002bf0,function,554,,PlugPikiApp::PlugPikiApp,ghidra
0x00002eb0,function,81,,FUN_10002eb0,ghidra
0x00002f20,function,64,,FUN_10002f20,ghidra
0x000030e0,function,46,,FUN_100030e0,ghidra
0x00003110,function,51,,FUN_10003110,ghidra
0x00003150,function,131,,GameFlow::GameFlow,ghidra
0x000031e0,function,368,,GameLoadIdler::draw,ghidra
0x00003350,function,770,,GameFlow::drawLoadLogo,ghidra
0x00003660,function,70,,WorldClock::setClockSpd,ghidra
0x000036b0,function,145,,WorldClock::setTime,ghidra
0x00003750,function,120,,WorldClock::reset,ghidra
0x000037d0,function,94,,WorldClock::age,ghidra
0x00003830,function,294,,WorldClock::update,ghidra
0x00003960,function,158,,GameFlow::menuToggleTimers,ghidra
0x00003a00,function,138,,GameFlow::menuTogglePrint,ghidra
0x00003a90,function,138,,GameFlow::menuToggleDInfo,ghidra
0x00003b20,function,138,,GameFlow::menuToggleDExtra,ghidra
0x00003bb0,function,138,,GameFlow::menuToggleBlur,ghidra
0x00003c40,function,138,,GameFlow::menuToggleInfo,ghidra
0x00003cd0,function,138,,GameFlow::menuToggleColls,ghidra
0x00003d60,function,1366,,GameFlow::addOptionsMenu,ghidra
0x000042c0,function,220,,GameFlow::menuChangeFilter,ghidra
0x000043a0,function,274,,GameFlow::menuIncreaseFilter,ghidra
0x000044c0,function,270,,GameFlow::menuDecreaseFilter,ghidra
0x000045d0,function,590,,GameFlow::addFilterMenu,ghidra
0x00004820,function,63,,FUN_10004820,ghidra
0x00004860,function,31,,preloadLanguage,ghidra
0x00004880,function,214,,GameFlow::setLoadBanner,ghidra
0x00004960,function,1189,,GameFlow::hardReset,ghidra
0x00004e10,function,227,,GameFlow_Print,ghidra
0x00004f00,function,122,,FUN_10004f00,ghidra
0x00004f80,function,113,,FUN_10004f80,ghidra
0x00005000,function,377,,FUN_10005000,ghidra
0x00005180,function,63,,FUN_10005180,ghidra
0x000051c0,function,63,,FUN_100051c0,ghidra
0x00005200,function,2271,,GameFlow::softReset,ghidra
0x00005adf,data,4,,switchdataD_10005adf,ghidra
0x00005b00,function,66,,NinLogoSection::NinLogoSection,ghidra
0x00005b50,function,66,,TitlesSection::TitlesSection,ghidra
0x00005ba0,function,66,,MovSampleSection::MovSampleSection,ghidra
0x00005bf0,function,66,,PaniTestSection::PaniTestSection,ghidra
0x00005c40,function,66,,OnePlayerSection::OnePlayerSection,ghidra
0x00005c90,function,81,,Section::Section,ghidra
0x00005cf0,function,79,,GameFlow::loadShape,ghidra
0x00005d40,function,66,,FUN_10005d40,ghidra
0x00005d90,function,197,,GameFlow::addGenNode,ghidra
0x00005e60,function,91,,FUN_10005e60,ghidra
0x00005ec0,function,131,,FUN_10005ec0,ghidra
0x00005f50,function,42,,Parm<float>::operator(),ghidra
0x00005f80,function,86,,FUN_10005f80,ghidra
0x00005fe0,function,73,,FUN_10005fe0,ghidra
0x00006030,function,86,,FUN_10006030,ghidra
0x00006090,function,73,,FUN_10006090,ghidra
0x000060e0,function,48,,FUN_100060e0,ghidra
0x00006110,function,48,,FUN_10006110,ghidra
0x00006140,function,100,,GamePrefs::GamePrefs,ghidra
0x000061b0,function,133,,GameHiscores::GameHiscores,ghidra
0x00006240,function,57,,GameRecMinDay::GameRecMinDay,ghidra
0x00006280,function,55,,GameRecMinDay::Initialise,ghidra
0x000062c0,function,57,,GameRecBornPikmin::GameRecBornPikmin,ghidra
0x00006300,function,45,,GameRecBornPikmin::Initialise,ghidra
0x00006330,function,57,,GameRecDeadPikmin::GameRecDeadPikmin,ghidra
0x00006370,function,45,,GameRecDeadPikmin::Initialise,ghidra
0x000063a0,function,57,,GameRecChalCourse::GameRecChalCourse,ghidra
0x000063e0,function,72,,GameRecChalCourse::Initialise,ghidra
0x00006430,function,136,,GamePrefs::Initialise,ghidra
0x000064c0,function,144,,GameHiscores::Initialise,ghidra
0x00006550,function,95,,PlayState::PlayState,ghidra
0x000065b0,function,131,,MemoryCard::MemoryCard,ghidra
0x00006640,function,66,,GameLoadIdler::GameLoadIdler,ghidra
0x00006690,function,81,,LoadIdler::LoadIdler,ghidra
0x000066f0,function,36,,FUN_100066f0,ghidra
0x00006720,function,38,,FUN_10006720,ghidra
0x00006750,function,36,,FUN_10006750,ghidra
0x00006780,function,82,,LangMode::set,ghidra
0x000067e0,function,749,,GameFlow_Parms::GameFlow_Parms,ghidra
0x00006ad0,function,121,,Parm<float>::Parm<float>,ghidra
0x00006b50,function,41,,FUN_10006b50,ghidra
0x00006b80,function,121,,Parm<int>::Parm<int>,ghidra
0x00006c00,function,41,,FUN_10006c00,ghidra
0x00006c30,function,229,,Parm<String>::Parm<String>,ghidra
