rva,kind,size,name_mangled,name,source
0x00001005,thunk,5,,sub_10001005,ida
0x0000100a,thunk,5,,sub_1000100A,ida
0x0000100f,thunk,5,??4ControllerMgr@@QAEAAV0@ABV0@@Z,ControllerMgr::operator=(ControllerMgr const &),ida
0x00001014,thunk,5,?writeString@Stream@@UAEXAAVString@@@Z,Stream::writeString(String &),ida
0x00001019,thunk,5,?writeType@AnimData@@UAEXAAVRandomAccessStream@@@Z,AnimData::writeType(RandomAccessStream &),ida
0x0000101e,thunk,5,??4Vector2i@@QAEAAV0@ABV0@@Z,Vector2i::operator=(Vector2i const &),ida
0x00001023,thunk,5,??0MatPoly@Joint@@QAE@XZ,Joint::MatPoly::MatPoly(void),ida
0x00001028,thunk,5,??4Matrix4f@@QAEAAV0@ABV0@@Z,Matrix4f::operator=(Matrix4f const &),ida
0x0000102d,thunk,5,?parse@AnimDca@@QAEXPAVCmdStream@@@Z,AnimDca::parse(CmdStream *),ida
0x00001032,thunk,5,?set@Quat@@QAEXMMMM@Z,"Quat::set(float,float,float,float)",ida
0x00001037,thunk,5,?read@BufferedInputStream@@UAEXPAXH@Z,"BufferedInputStream::read(void *,int)",ida
0x0000103c,thunk,5,?initLightmap@LightCamera@@QAEXHH@Z,"LightCamera::initLightmap(int,int)",ida
0x00001041,thunk,5,??0GfxInfo@@QAE@XZ,GfxInfo::GfxInfo(void),ida
0x00001046,thunk,5,??4Module@@QAEAAV0@ABV0@@Z,Module::operator=(Module const &),ida
0x0000104b,thunk,5,?SetElement@Matrix3f@@QAEAAV1@HHM@Z,"Matrix3f::SetElement(int,int,float)",ida
0x00001050,thunk,5,??4BaseCollTriInfo@@QAEAAV0@ABV0@@Z,BaseCollTriInfo::operator=(BaseCollTriInfo const &),ida
0x00001055,thunk,5,,sub_10001055,ida
0x0000105a,thunk,5,?flushLFlares@StdSystem@@QAEXAAVGraphics@@@Z,StdSystem::flushLFlares(Graphics &),ida
0x0000105f,thunk,5,?rotate@Matrix4f@@QAEXAAVVector3f@@@Z,Matrix4f::rotate(Vector3f &),ida
0x00001064,thunk,5,??4CacheTexture@@QAEAAV0@ABV0@@Z,CacheTexture::operator=(CacheTexture const &),ida
0x00001069,thunk,5,??0AnimData@@QAE@ABV0@@Z,AnimData::AnimData(AnimData const &),ida
0x0000106e,thunk,5,?draw@Timers@@QAEXAAVGraphics@@PAVFont@@@Z,"Timers::draw(Graphics &,Font *)",ida
0x00001073,thunk,5,??4AnimContext@@QAEAAV0@ABV0@@Z,AnimContext::operator=(AnimContext const &),ida
0x00001078,thunk,5,?remove@CacheInfo@@QAEXXZ,CacheInfo::remove(void),ida
0x0000107d,thunk,5,?getFree@AyuStack@@QAEHXZ,AyuStack::getFree(void),ida
0x00001082,thunk,5,?nextChar@CmdStream@@QAEDXZ,CmdStream::nextChar(void),ida
0x00001087,thunk,5,?recOverrideAnim@Joint@@QAEXPAVAnimContext@@@Z,Joint::recOverrideAnim(AnimContext *),ida
0x0000108c,thunk,5,??4String@@QAEAAV0@ABV0@@Z,String::operator=(String const &),ida
0x00001091,thunk,5,??1SplitBar@@QAE@XZ,SplitBar::~SplitBar(void),ida
0x00001096,thunk,5,?write@Texture@@QAEXPAVStream@@@Z,Texture::write(Stream *),ida
0x0000109b,thunk,5,?calcBoxLighting@Graphics@@QAEHAAVBoundBox@@@Z,Graphics::calcBoxLighting(BoundBox &),ida
0x000010a0,thunk,5,??0Vector3f@@QAE@ABM00@Z,"Vector3f::Vector3f(float const &,float const &,float const &)",ida
0x000010a5,thunk,5,,sub_100010A5,ida
0x000010aa,thunk,5,?entryHandler@ComboBox@@UAEXPAD@Z,ComboBox::entryHandler(char *),ida
0x000010af,thunk,5,?makeBallRotate@Matrix4f@@QAEXAAVVector3f@@@Z,Matrix4f::makeBallRotate(Vector3f &),ida
0x000010b4,thunk,5,?readInt@Stream@@UAEHXZ,Stream::readInt(void),ida
0x000010b9,thunk,5,?set@Vector2f@@QAEXMM@Z,"Vector2f::set(float,float)",ida
0x000010be,thunk,5,??0BufferedStream@@QAE@ABV0@@Z,BufferedStream::BufferedStream(BufferedStream const &),ida
0x000010c3,thunk,5,?animate@PVWPolygonColourInfo@@QAEXPAMAAVColour@@@Z,"PVWPolygonColourInfo::animate(float *,Colour &)",ida
0x000010c8,thunk,5,?ageDel@LightGroup@@QAEXAAVAgeServer@@@Z,LightGroup::ageDel(AgeServer &),ida
0x000010cd,thunk,5,?read@DataChunk@@QAEXAAVRandomAccessStream@@@Z,DataChunk::read(RandomAccessStream &),ida
0x000010d2,thunk,5,?recFindNode@NodeMgr@@QAEXPAVCoreNode@@PAD@Z,"NodeMgr::recFindNode(CoreNode *,char *)",ida
0x000010d7,thunk,5,??0TexCacheInfo@@QAE@XZ,TexCacheInfo::TexCacheInfo(void),ida
0x000010dc,thunk,5,?getFrameCount@System@@QAE_HXZ,System::getFrameCount(void),ida
0x000010e1,thunk,5,??0PVWTextureInfo@@QAE@ABV0@@Z,PVWTextureInfo::PVWTextureInfo(PVWTextureInfo const &),ida
0x000010e6,thunk,5,?isSame@PVWTevInfo@@QAE_NAAV1@@Z,PVWTevInfo::isSame(PVWTevInfo &),ida
0x000010eb,thunk,5,?write@PVWLightingInfo@@QAEXAAVRandomAccessStream@@@Z,PVWLightingInfo::write(RandomAccessStream &),ida
